lon,lat,lev,time,pe
1.0,32.5,11.0,2020-05-06,0.6895307
1.0,32.5,11.0,2020-05-07,0.07220217
1.0,32.5,11.0,2020-05-08,0.15451263
1.0,32.5,11.0,2020-05-09,0.80866426
1.0,32.5,11.0,2020-05-10,0.76606494
1.0,32.5,11.0,2020-05-11,0.8144404
1.0,32.5,11.0,2020-05-12,0.57545125
1.0,32.5,11.0,2020-05-13,0.03537906
1.0,32.5,11.0,2020-05-14,0.26859206
1.0,32.5,11.0,2020-05-15,0.72924185
1.0,32.5,11.0,2020-05-16,0.45126355
1.0,32.5,11.0,2020-05-17,0.3364621
1.0,32.5,11.0,2020-05-18,0.8
1.0,32.5,11.0,2020-05-19,0.7754513
1.0,32.5,11.0,2020-05-20,0.7545126
1.0,32.5,11.0,2020-05-21,0.2967509
1.0,32.5,11.0,2020-05-22,0.32202166
1.0,32.5,11.0,2020-05-23,0.40866426
1.0,32.5,11.0,2020-05-24,0.39927796
1.0,32.5,11.0,2020-05-25,0.75306857
1.0,32.5,11.0,2020-05-26,0.7689531
1.0,32.5,11.0,2020-05-27,0.63610107
1.0,32.5,11.0,2020-05-28,0.366065
1.0,32.5,11.0,2020-05-29,0.40216607
1.0,32.5,11.0,2020-05-30,0.4259928
1.0,32.5,11.0,2020-05-31,0.30252707
1.0,32.5,11.0,2020-06-01,0.7176896
1.0,32.5,11.0,2020-06-02,0.57039714
1.0,32.5,11.0,2020-06-03,0.6722021
1.0,32.5,11.0,2020-06-04,0.70252705
1.0,32.5,11.0,2020-06-05,0.7277978
1.0,32.5,11.0,2020-06-06,0.74151623
1.0,32.5,11.0,2020-06-07,0.66714805
1.0,32.5,11.0,2020-06-08,0.44837546
1.0,32.5,11.0,2020-06-09,0.3566787
1.0,32.5,11.0,2020-06-10,0.16245487
1.0,32.5,11.0,2020-06-11,0.22093864
1.0,32.5,11.0,2020-06-12,0.7682311
1.0,32.5,11.0,2020-06-13,0.6837545
1.0,32.5,11.0,2020-06-14,0.23682311
1.0,32.5,11.0,2020-06-15,0.0635379
1.0,32.5,11.0,2020-06-16,0.68231046
1.0,32.5,11.0,2020-06-17,0.698195
