지점,1시간평균 미세먼지농도(㎍/㎥)
156.0,16.0
156.0,27.0
156.0,31.0
156.0,28.0
156.0,41.0
156.0,52.0
156.0,56.0
156.0,59.0
156.0,58.0
156.0,72.0
156.0,80.0
156.0,72.0
156.0,64.0
156.0,59.0
156.0,50.0
156.0,56.0
156.0,62.0
156.0,70.0
156.0,59.0
156.0,56.0
156.0,45.0
156.0,46.0
156.0,44.0
156.0,33.0
156.0,46.0
156.0,39.0
156.0,35.0
156.0,40.0
156.0,44.0
156.0,35.0
156.0,28.0
156.0,25.0
156.0,21.0
156.0,30.0
156.0,45.0
156.0,45.0
156.0,40.0
156.0,37.0
156.0,34.0
156.0,42.0
156.0,51.0
156.0,50.0
156.0,52.0
156.0,50.0
156.0,45.0
156.0,43.0
156.0,44.0
156.0,46.0
156.0,60.0
156.0,69.0
156.0,76.0
156.0,85.0
156.0,95.0
156.0,98.0
156.0,95.0
156.0,102.0
156.0,107.0
156.0,119.0
156.0,127.0
156.0,139.0
156.0,132.0
156.0,126.0
156.0,124.0
156.0,123.0
156.0,136.0
156.0,132.0
156.0,128.0
156.0,117.0
156.0,118.0
156.0,114.0
156.0,105.0
156.0,109.0
156.0,109.0
156.0,115.0
156.0,106.0
156.0,114.0
156.0,116.0
156.0,128.0
156.0,137.0
156.0,125.0
156.0,129.0
156.0,124.0
156.0,141.0
156.0,125.0
156.0,115.0
156.0,113.0
156.0,116.0
156.0,117.0
156.0,126.0
156.0,134.0
156.0,129.0
156.0,118.0
156.0,117.0
156.0,109.0
156.0,105.0
156.0,103.0
156.0,108.0
156.0,112.0
156.0,105.0
156.0,98.0
156.0,99.0
156.0,115.0
156.0,109.0
156.0,108.0
156.0,109.0
156.0,98.0
156.0,93.0
156.0,95.0
156.0,91.0
156.0,88.0
156.0,85.0
156.0,84.0
156.0,88.0
156.0,92.0
156.0,93.0
156.0,91.0
156.0,84.0
156.0,89.0
156.0,85.0
156.0,82.0
156.0,86.0
156.0,88.0
156.0,100.0
156.0,96.0
156.0,94.0
156.0,95.0
156.0,96.0
156.0,92.0
156.0,94.0
156.0,98.0
156.0,94.0
156.0,99.0
156.0,102.0
156.0,108.0
156.0,101.0
156.0,92.0
156.0,85.0
156.0,100.0
156.0,93.0
156.0,91.0
156.0,88.0
156.0,85.0
156.0,85.0
156.0,80.0
156.0,76.0
156.0,69.0
156.0,69.0
156.0,58.0
156.0,50.0
156.0,49.0
156.0,52.0
156.0,52.0
156.0,54.0
156.0,41.0
156.0,45.0
156.0,39.0
156.0,45.0
156.0,40.0
156.0,42.0
156.0,58.0
156.0,52.0
156.0,52.0
156.0,53.0
156.0,50.66666666666667
156.0,48.333333333333336
156.0,46.0
156.0,51.0
156.0,28.0
156.0,18.0
156.0,13.0
156.0,18.0
156.0,16.0
156.0,8.0
156.0,12.0
156.0,16.0
156.0,5.0
156.0,5.0
156.0,6.0
156.0,7.0
156.0,4.0
156.0,5.0
156.0,4.0
156.0,5.333333333333333
156.0,6.666666666666666
156.0,8.0
156.0,6.0
